site,longitude,latitude,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21
Hoan Kiem lake,105.8510253,21.022615,62.78,62.78,62.78,62.78,62.78,62.78,62.78,62.78,62.78,62.78,62.78,62.78,62.78,62.78,62.78,62.78,62.78
Hoan Kiem lake,105.8514102,21.0226131,64.77,64.77,64.77,64.77,64.77,64.77,64.77,64.77,64.77,64.77,64.77,64.77,64.77,64.77,64.77,64.77,64.77
Hoan Kiem lake,105.8517951,21.0226112,64.07,64.07,64.07,64.07,64.07,64.07,64.07,64.07,64.07,64.07,64.07,64.07,64.07,64.07,64.07,64.07,64.07
Hoan Kiem lake,105.85218,21.0226092,64.33,64.33,64.33,64.33,64.33,64.33,64.33,64.33,64.33,64.33,64.33,64.33,64.33,64.33,64.33,64.33,64.33
Hoan Kiem lake,105.8525649,21.0226073,71.02,71.02,71.02,71.02,71.02,71.02,71.02,71.02,71.02,71.02,71.02,71.02,71.02,71.02,71.02,71.02,71.02
Hoan Kiem lake,105.8529498,21.0226054,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47
Hoan Kiem lake,105.8533347,21.0226035,66.07,66.07,66.07,66.07,66.07,66.07,66.07,66.07,66.07,66.07,66.07,66.07,66.07,66.07,66.07,66.07,66.07
Hoan Kiem lake,105.8537196,21.0226015,63.18,63.18,63.18,63.18,63.18,63.18,63.18,63.18,63.18,63.18,63.18,63.18,63.18,63.18,63.18,63.18,63.18
Hoan Kiem lake,105.8541045,21.0225996,62.11,62.11,62.11,62.11,62.11,62.11,62.11,62.11,62.11,62.11,62.11,62.11,62.11,62.11,62.11,62.11,62.11
Hoan Kiem lake,105.8544894,21.0225977,66.68,66.68,66.68,66.68,66.68,66.68,66.68,66.68,66.68,66.68,66.68,66.68,66.68,66.68,66.68,66.68,66.68
Hoan Kiem lake,105.8548743,21.0225957,62.66,62.66,62.66,62.66,62.66,62.66,62.66,62.66,62.66,62.66,62.66,62.66,62.66,62.66,62.66,62.66,62.66
Hoan Kiem lake,105.8552592,21.0225938,65.72,65.72,65.72,65.72,65.72,65.72,65.72,65.72,65.72,65.72,65.72,65.72,65.72,65.72,65.72,65.72,65.72
Hoan Kiem lake,105.8556441,21.0225919,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1
Hoan Kiem lake,105.8560289,21.0225899,67.52,67.52,67.52,67.52,67.52,67.52,67.52,67.52,67.52,67.52,67.52,67.52,67.52,67.52,67.52,67.52,67.52
Hoan Kiem lake,105.8564138,21.022588,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2
Hoan Kiem lake,105.8567987,21.022586,62.36,62.36,62.36,62.36,62.36,62.36,62.36,62.36,62.36,62.36,62.36,62.36,62.36,62.36,62.36,62.36,62.36
Hoan Kiem lake,105.8571836,21.0225841,61.85,61.85,61.85,61.85,61.85,61.85,61.85,61.85,61.85,61.85,61.85,61.85,61.85,61.85,61.85,61.85,61.85
Hoan Kiem lake,105.8575685,21.0225822,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03
Hoan Kiem lake,105.8421748,21.0230205,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93,59.93
Hoan Kiem lake,105.8425597,21.0230186,59.69,59.69,59.69,59.69,59.69,59.69,59.69,59.69,59.69,59.69,59.69,59.69,59.69,59.69,59.69,59.69,59.69
Hoan Kiem lake,105.8429446,21.0230167,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5
Hoan Kiem lake,105.8433295,21.0230148,62.98,62.98,62.98,62.98,62.98,62.98,62.98,62.98,62.98,62.98,62.98,62.98,62.98,62.98,62.98,62.98,62.98
Hoan Kiem lake,105.8437144,21.0230128,64.98,64.98,64.98,64.98,64.98,64.98,64.98,64.98,64.98,64.98,64.98,64.98,64.98,64.98,64.98,64.98,64.98
Hoan Kiem lake,105.8440993,21.0230109,60.35,60.35,60.35,60.35,60.35,60.35,60.35,60.35,60.35,60.35,60.35,60.35,60.35,60.35,60.35,60.35,60.35
Hoan Kiem lake,105.8444842,21.023009,63.04,63.04,63.04,63.04,63.04,63.04,63.04,63.04,63.04,63.04,63.04,63.04,63.04,63.04,63.04,63.04,63.04
Hoan Kiem lake,105.844869,21.0230071,65.68,65.68,65.68,65.68,65.68,65.68,65.68,65.68,65.68,65.68,65.68,65.68,65.68,65.68,65.68,65.68,65.68
Hoan Kiem lake,105.8452539,21.0230052,70.19,70.19,70.19,70.19,70.19,70.19,70.19,70.19,70.19,70.19,70.19,70.19,70.19,70.19,70.19,70.19,70.19
Hoan Kiem lake,105.8456388,21.0230033,68.07,68.07,68.07,68.07,68.07,68.07,68.07,68.07,68.07,68.07,68.07,68.07,68.07,68.07,68.07,68.07,68.07
Hoan Kiem lake,105.8460237,21.0230014,65.04,65.04,65.04,65.04,65.04,65.04,65.04,65.04,65.04,65.04,65.04,65.04,65.04,65.04,65.04,65.04,65.04
Hoan Kiem lake,105.8464086,21.0229995,69.57,69.57,69.57,69.57,69.57,69.57,69.57,69.57,69.57,69.57,69.57,69.57,69.57,69.57,69.57,69.57,69.57
Hoan Kiem lake,105.8467935,21.0229975,63.23,63.23,63.23,63.23,63.23,63.23,63.23,63.23,63.23,63.23,63.23,63.23,63.23,63.23,63.23,63.23,63.23
Hoan Kiem lake,105.8471784,21.0229956,61.31,61.31,61.31,61.31,61.31,61.31,61.31,61.31,61.31,61.31,61.31,61.31,61.31,61.31,61.31,61.31,61.31
Hoan Kiem lake,105.8475633,21.0229937,61.21,61.21,61.21,61.21,61.21,61.21,61.21,61.21,61.21,61.21,61.21,61.21,61.21,61.21,61.21,61.21,61.21
Hoan Kiem lake,105.8479482,21.0229918,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23,62.23
Hoan Kiem lake,105.8483331,21.0229899,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52
Hoan Kiem lake,105.848718,21.022988,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47,64.47
Hoan Kiem lake,105.8491029,21.022986,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51
Hoan Kiem lake,105.8494878,21.0229841,60.37,60.37,60.37,60.37,60.37,60.37,60.37,60.37,60.37,60.37,60.37,60.37,60.37,60.37,60.37,60.37,60.37
Hoan Kiem lake,105.8498727,21.0229822,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9
Hoan Kiem lake,105.8502576,21.0229803,62.69,62.69,62.69,62.69,62.69,62.69,62.69,62.69,62.69,62.69,62.69,62.69,62.69,62.69,62.69,62.69,62.69
Hoan Kiem lake,105.8506425,21.0229783,67.82,67.82,67.82,67.82,67.82,67.82,67.82,67.82,67.82,67.82,67.82,67.82,67.82,67.82,67.82,67.82,67.82
Hoan Kiem lake,105.8510274,21.0229764,65.47,65.47,65.47,65.47,65.47,65.47,65.47,65.47,65.47,65.47,65.47,65.47,65.47,65.47,65.47,65.47,65.47
Hoan Kiem lake,105.8514123,21.0229745,66.54,66.54,66.54,66.54,66.54,66.54,66.54,66.54,66.54,66.54,66.54,66.54,66.54,66.54,66.54,66.54,66.54
Hoan Kiem lake,105.8517972,21.0229726,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11
Hoan Kiem lake,105.8521821,21.0229706,65.76,65.76,65.76,65.76,65.76,65.76,65.76,65.76,65.76,65.76,65.76,65.76,65.76,65.76,65.76,65.76,65.76
Hoan Kiem lake,105.852567,21.0229687,68.58,68.58,68.58,68.58,68.58,68.58,68.58,68.58,68.58,68.58,68.58,68.58,68.58,68.58,68.58,68.58,68.58
Hoan Kiem lake,105.8529519,21.0229668,64.08,64.08,64.08,64.08,64.08,64.08,64.08,64.08,64.08,64.08,64.08,64.08,64.08,64.08,64.08,64.08,64.08
Hoan Kiem lake,105.8533367,21.0229648,61.62,61.62,61.62,61.62,61.62,61.62,61.62,61.62,61.62,61.62,61.62,61.62,61.62,61.62,61.62,61.62,61.62
Hoan Kiem lake,105.8537216,21.0229629,60.25,60.25,60.25,60.25,60.25,60.25,60.25,60.25,60.25,60.25,60.25,60.25,60.25,60.25,60.25,60.25,60.25
Hoan Kiem lake,105.8541065,21.022961,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54
Hoan Kiem lake,105.8544914,21.022959,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11
Hoan Kiem lake,105.8548763,21.0229571,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24
Hoan Kiem lake,105.8552612,21.0229552,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21
Hoan Kiem lake,105.8556461,21.0229532,63.07,63.07,63.07,63.07,63.07,63.07,63.07,63.07,63.07,63.07,63.07,63.07,63.07,63.07,63.07,63.07,63.07
Hoan Kiem lake,105.856031,21.0229513,63.03,63.03,63.03,63.03,63.03,63.03,63.03,63.03,63.03,63.03,63.03,63.03,63.03,63.03,63.03,63.03,63.03
Hoan Kiem lake,105.8564159,21.0229494,66.78,66.78,66.78,66.78,66.78,66.78,66.78,66.78,66.78,66.78,66.78,66.78,66.78,66.78,66.78,66.78,66.78
Hoan Kiem lake,105.8568008,21.0229474,66.02,66.02,66.02,66.02,66.02,66.02,66.02,66.02,66.02,66.02,66.02,66.02,66.02,66.02,66.02,66.02,66.02
Hoan Kiem lake,105.8571857,21.0229455,69.22,69.22,69.22,69.22,69.22,69.22,69.22,69.22,69.22,69.22,69.22,69.22,69.22,69.22,69.22,69.22,69.22
Hoan Kiem lake,105.8575706,21.0229436,66.09,66.09,66.09,66.09,66.09,66.09,66.09,66.09,66.09,66.09,66.09,66.09,66.09,66.09,66.09,66.09,66.09
Hoan Kiem lake,105.8421768,21.0233819,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99,60.99
Hoan Kiem lake,105.8425617,21.02338,62.03,62.03,62.03,62.03,62.03,62.03,62.03,62.03,62.03,62.03,62.03,62.03,62.03,62.03,62.03,62.03,62.03
Hoan Kiem lake,105.8429466,21.0233781,62.51,62.51,62.51,62.51,62.51,62.51,62.51,62.51,62.51,62.51,62.51,62.51,62.51,62.51,62.51,62.51,62.51
Hoan Kiem lake,105.8433315,21.0233761,62.64,62.64,62.64,62.64,62.64,62.64,62.64,62.64,62.64,62.64,62.64,62.64,62.64,62.64,62.64,62.64,62.64
Hoan Kiem lake,105.8437164,21.0233742,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05
Hoan Kiem lake,105.8441013,21.0233723,61.09,61.09,61.09,61.09,61.09,61.09,61.09,61.09,61.09,61.09,61.09,61.09,61.09,61.09,61.09,61.09,61.09
Hoan Kiem lake,105.8444862,21.0233704,65.59,65.59,65.59,65.59,65.59,65.59,65.59,65.59,65.59,65.59,65.59,65.59,65.59,65.59,65.59,65.59,65.59
Hoan Kiem lake,105.8448711,21.0233685,63.41,63.41,63.41,63.41,63.41,63.41,63.41,63.41,63.41,63.41,63.41,63.41,63.41,63.41,63.41,63.41,63.41
Hoan Kiem lake,105.845256,21.0233666,63.16,63.16,63.16,63.16,63.16,63.16,63.16,63.16,63.16,63.16,63.16,63.16,63.16,63.16,63.16,63.16,63.16
Hoan Kiem lake,105.8456409,21.0233647,62.46,62.46,62.46,62.46,62.46,62.46,62.46,62.46,62.46,62.46,62.46,62.46,62.46,62.46,62.46,62.46,62.46
Hoan Kiem lake,105.8460258,21.0233628,61.86,61.86,61.86,61.86,61.86,61.86,61.86,61.86,61.86,61.86,61.86,61.86,61.86,61.86,61.86,61.86,61.86
Hoan Kiem lake,105.8464107,21.0233608,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39
Hoan Kiem lake,105.8467956,21.0233589,63.28,63.28,63.28,63.28,63.28,63.28,63.28,63.28,63.28,63.28,63.28,63.28,63.28,63.28,63.28,63.28,63.28
Hoan Kiem lake,105.8471805,21.023357,60.72,60.72,60.72,60.72,60.72,60.72,60.72,60.72,60.72,60.72,60.72,60.72,60.72,60.72,60.72,60.72,60.72
Hoan Kiem lake,105.8475654,21.0233551,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28
Hoan Kiem lake,105.8479503,21.0233532,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03
Hoan Kiem lake,105.8483352,21.0233513,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39
Hoan Kiem lake,105.84872,21.0233493,61.55,61.55,61.55,61.55,61.55,61.55,61.55,61.55,61.55,61.55,61.55,61.55,61.55,61.55,61.55,61.55,61.55
Hoan Kiem lake,105.8491049,21.0233474,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98
Hoan Kiem lake,105.8494898,21.0233455,62.07,62.07,62.07,62.07,62.07,62.07,62.07,62.07,62.07,62.07,62.07,62.07,62.07,62.07,62.07,62.07,62.07
Hoan Kiem lake,105.8498747,21.0233436,64.17,64.17,64.17,64.17,64.17,64.17,64.17,64.17,64.17,64.17,64.17,64.17,64.17,64.17,64.17,64.17,64.17
Hoan Kiem lake,105.8502596,21.0233417,68.82,68.82,68.82,68.82,68.82,68.82,68.82,68.82,68.82,68.82,68.82,68.82,68.82,68.82,68.82,68.82,68.82
Hoan Kiem lake,105.8506445,21.0233397,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98
Hoan Kiem lake,105.8510294,21.0233378,66.93,66.93,66.93,66.93,66.93,66.93,66.93,66.93,66.93,66.93,66.93,66.93,66.93,66.93,66.93,66.93,66.93
Hoan Kiem lake,105.8514143,21.0233359,63.42,63.42,63.42,63.42,63.42,63.42,63.42,63.42,63.42,63.42,63.42,63.42,63.42,63.42,63.42,63.42,63.42
Hoan Kiem lake,105.8517992,21.0233339,61.67,61.67,61.67,61.67,61.67,61.67,61.67,61.67,61.67,61.67,61.67,61.67,61.67,61.67,61.67,61.67,61.67
Hoan Kiem lake,105.8521841,21.023332,62.03,62.03,62.03,62.03,62.03,62.03,62.03,62.03,62.03,62.03,62.03,62.03,62.03,62.03,62.03,62.03,62.03
Hoan Kiem lake,105.852569,21.0233301,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49
