site,longitude,latitude,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21
Ocean Park,105.9454798,20.9946289,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4
Ocean Park,105.9458646,20.9946268,63.27,63.27,63.27,63.27,63.27,63.27,63.27,63.27,63.27,63.27,63.27,63.27,63.27,63.27,63.27,63.27,63.27
Ocean Park,105.9462494,20.9946247,70.66,70.66,70.66,70.66,70.66,70.66,70.66,70.66,70.66,70.66,70.66,70.66,70.66,70.66,70.66,70.66,70.66
Ocean Park,105.9466342,20.9946225,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34
Ocean Park,105.947019,20.9946204,67.74,67.74,67.74,67.74,67.74,67.74,67.74,67.74,67.74,67.74,67.74,67.74,67.74,67.74,67.74,67.74,67.74
Ocean Park,105.9474038,20.9946183,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31
Ocean Park,105.9477886,20.9946161,63.79,63.79,63.79,63.79,63.79,63.79,63.79,63.79,63.79,63.79,63.79,63.79,63.79,63.79,63.79,63.79,63.79
Ocean Park,105.9481734,20.994614,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2
Ocean Park,105.9485582,20.9946118,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4
Ocean Park,105.9489431,20.9946097,68.99,68.99,68.99,68.99,68.99,68.99,68.99,68.99,68.99,68.99,68.99,68.99,68.99,68.99,68.99,68.99,68.99
Ocean Park,105.9493279,20.9946075,63.43,63.43,63.43,63.43,63.43,63.43,63.43,63.43,63.43,63.43,63.43,63.43,63.43,63.43,63.43,63.43,63.43
Ocean Park,105.9497127,20.9946054,68.52,68.52,68.52,68.52,68.52,68.52,68.52,68.52,68.52,68.52,68.52,68.52,68.52,68.52,68.52,68.52,68.52
Ocean Park,105.9500975,20.9946032,63.58,63.58,63.58,63.58,63.58,63.58,63.58,63.58,63.58,63.58,63.58,63.58,63.58,63.58,63.58,63.58,63.58
Ocean Park,105.9504823,20.9946011,67.72,67.72,67.72,67.72,67.72,67.72,67.72,67.72,67.72,67.72,67.72,67.72,67.72,67.72,67.72,67.72,67.72
Ocean Park,105.9508671,20.9945989,63.7,63.7,63.7,63.7,63.7,63.7,63.7,63.7,63.7,63.7,63.7,63.7,63.7,63.7,63.7,63.7,63.7
Ocean Park,105.9512519,20.9945968,60.31,60.31,60.31,60.31,60.31,60.31,60.31,60.31,60.31,60.31,60.31,60.31,60.31,60.31,60.31,60.31,60.31
Ocean Park,105.9516367,20.9945946,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43
Ocean Park,105.9520216,20.9945925,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
Ocean Park,105.9524064,20.9945903,56.04,56.04,56.04,56.04,56.04,56.04,56.04,56.04,56.04,56.04,56.04,56.04,56.04,56.04,56.04,56.04,56.04
Ocean Park,105.9527912,20.9945882,56.54,56.54,56.54,56.54,56.54,56.54,56.54,56.54,56.54,56.54,56.54,56.54,56.54,56.54,56.54,56.54,56.54
Ocean Park,105.9327832,20.9950604,66.05,66.05,66.05,66.05,66.05,66.05,66.05,66.05,66.05,66.05,66.05,66.05,66.05,66.05,66.05,66.05,66.05
Ocean Park,105.933168,20.9950583,68.27,68.27,68.27,68.27,68.27,68.27,68.27,68.27,68.27,68.27,68.27,68.27,68.27,68.27,68.27,68.27,68.27
Ocean Park,105.9335528,20.9950561,64.34,64.34,64.34,64.34,64.34,64.34,64.34,64.34,64.34,64.34,64.34,64.34,64.34,64.34,64.34,64.34,64.34
Ocean Park,105.9339376,20.995054,62.96,62.96,62.96,62.96,62.96,62.96,62.96,62.96,62.96,62.96,62.96,62.96,62.96,62.96,62.96,62.96,62.96
Ocean Park,105.9343224,20.9950519,69.95,69.95,69.95,69.95,69.95,69.95,69.95,69.95,69.95,69.95,69.95,69.95,69.95,69.95,69.95,69.95,69.95
Ocean Park,105.9347072,20.9950498,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4
Ocean Park,105.935092,20.9950477,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25
Ocean Park,105.9354769,20.9950456,61.39,61.39,61.39,61.39,61.39,61.39,61.39,61.39,61.39,61.39,61.39,61.39,61.39,61.39,61.39,61.39,61.39
Ocean Park,105.9358617,20.9950435,64.62,64.62,64.62,64.62,64.62,64.62,64.62,64.62,64.62,64.62,64.62,64.62,64.62,64.62,64.62,64.62,64.62
Ocean Park,105.9362465,20.9950414,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6
Ocean Park,105.9366313,20.9950392,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39
Ocean Park,105.9370161,20.9950371,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94
Ocean Park,105.9374009,20.995035,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13,67.13
Ocean Park,105.9377857,20.9950329,62.66,62.66,62.66,62.66,62.66,62.66,62.66,62.66,62.66,62.66,62.66,62.66,62.66,62.66,62.66,62.66,62.66
Ocean Park,105.9381706,20.9950308,59.42,59.42,59.42,59.42,59.42,59.42,59.42,59.42,59.42,59.42,59.42,59.42,59.42,59.42,59.42,59.42,59.42
Ocean Park,105.9385554,20.9950286,59.84,59.84,59.84,59.84,59.84,59.84,59.84,59.84,59.84,59.84,59.84,59.84,59.84,59.84,59.84,59.84,59.84
Ocean Park,105.9389402,20.9950265,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04
Ocean Park,105.939325,20.9950244,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88
Ocean Park,105.9397098,20.9950223,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99
Ocean Park,105.9400946,20.9950202,61.83,61.83,61.83,61.83,61.83,61.83,61.83,61.83,61.83,61.83,61.83,61.83,61.83,61.83,61.83,61.83,61.83
Ocean Park,105.9404794,20.995018,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54,59.54
Ocean Park,105.9408643,20.9950159,59.83,59.83,59.83,59.83,59.83,59.83,59.83,59.83,59.83,59.83,59.83,59.83,59.83,59.83,59.83,59.83,59.83
Ocean Park,105.9412491,20.9950138,66.04,66.04,66.04,66.04,66.04,66.04,66.04,66.04,66.04,66.04,66.04,66.04,66.04,66.04,66.04,66.04,66.04
Ocean Park,105.9416339,20.9950117,66.27,66.27,66.27,66.27,66.27,66.27,66.27,66.27,66.27,66.27,66.27,66.27,66.27,66.27,66.27,66.27,66.27
Ocean Park,105.9420187,20.9950095,65.24,65.24,65.24,65.24,65.24,65.24,65.24,65.24,65.24,65.24,65.24,65.24,65.24,65.24,65.24,65.24,65.24
Ocean Park,105.9424035,20.9950074,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1
Ocean Park,105.9427883,20.9950053,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3
Ocean Park,105.9431731,20.9950031,58.71,58.71,58.71,58.71,58.71,58.71,58.71,58.71,58.71,58.71,58.71,58.71,58.71,58.71,58.71,58.71,58.71
Ocean Park,105.943558,20.995001,60.11,60.11,60.11,60.11,60.11,60.11,60.11,60.11,60.11,60.11,60.11,60.11,60.11,60.11,60.11,60.11,60.11
Ocean Park,105.9439428,20.9949989,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97
Ocean Park,105.9443276,20.9949967,68.95,68.95,68.95,68.95,68.95,68.95,68.95,68.95,68.95,68.95,68.95,68.95,68.95,68.95,68.95,68.95,68.95
Ocean Park,105.9447124,20.9949946,64.03,64.03,64.03,64.03,64.03,64.03,64.03,64.03,64.03,64.03,64.03,64.03,64.03,64.03,64.03,64.03,64.03
Ocean Park,105.9450972,20.9949925,61.39,61.39,61.39,61.39,61.39,61.39,61.39,61.39,61.39,61.39,61.39,61.39,61.39,61.39,61.39,61.39,61.39
Ocean Park,105.945482,20.9949903,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0
Ocean Park,105.9458668,20.9949882,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1
Ocean Park,105.9462517,20.9949861,69.64,69.64,69.64,69.64,69.64,69.64,69.64,69.64,69.64,69.64,69.64,69.64,69.64,69.64,69.64,69.64,69.64
Ocean Park,105.9466365,20.9949839,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0
Ocean Park,105.9470213,20.9949818,70.33,70.33,70.33,70.33,70.33,70.33,70.33,70.33,70.33,70.33,70.33,70.33,70.33,70.33,70.33,70.33,70.33
Ocean Park,105.9474061,20.9949796,70.06,70.06,70.06,70.06,70.06,70.06,70.06,70.06,70.06,70.06,70.06,70.06,70.06,70.06,70.06,70.06,70.06
Ocean Park,105.9477909,20.9949775,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76
Ocean Park,105.9481757,20.9949753,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49
Ocean Park,105.9485605,20.9949732,61.88,61.88,61.88,61.88,61.88,61.88,61.88,61.88,61.88,61.88,61.88,61.88,61.88,61.88,61.88,61.88,61.88
Ocean Park,105.9489453,20.9949711,61.65,61.65,61.65,61.65,61.65,61.65,61.65,61.65,61.65,61.65,61.65,61.65,61.65,61.65,61.65,61.65,61.65
Ocean Park,105.9493302,20.9949689,65.35,65.35,65.35,65.35,65.35,65.35,65.35,65.35,65.35,65.35,65.35,65.35,65.35,65.35,65.35,65.35,65.35
Ocean Park,105.949715,20.9949668,65.73,65.73,65.73,65.73,65.73,65.73,65.73,65.73,65.73,65.73,65.73,65.73,65.73,65.73,65.73,65.73,65.73
Ocean Park,105.9500998,20.9949646,64.85,64.85,64.85,64.85,64.85,64.85,64.85,64.85,64.85,64.85,64.85,64.85,64.85,64.85,64.85,64.85,64.85
Ocean Park,105.9504846,20.9949625,65.87,65.87,65.87,65.87,65.87,65.87,65.87,65.87,65.87,65.87,65.87,65.87,65.87,65.87,65.87,65.87,65.87
Ocean Park,105.9508694,20.9949603,64.56,64.56,64.56,64.56,64.56,64.56,64.56,64.56,64.56,64.56,64.56,64.56,64.56,64.56,64.56,64.56,64.56
Ocean Park,105.9512542,20.9949582,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6
Ocean Park,105.951639,20.994956,59.16,59.16,59.16,59.16,59.16,59.16,59.16,59.16,59.16,59.16,59.16,59.16,59.16,59.16,59.16,59.16,59.16
Ocean Park,105.9520238,20.9949539,57.35,57.35,57.35,57.35,57.35,57.35,57.35,57.35,57.35,57.35,57.35,57.35,57.35,57.35,57.35,57.35,57.35
Ocean Park,105.9524087,20.9949517,56.91,56.91,56.91,56.91,56.91,56.91,56.91,56.91,56.91,56.91,56.91,56.91,56.91,56.91,56.91,56.91,56.91
Ocean Park,105.9527935,20.9949496,57.66,57.66,57.66,57.66,57.66,57.66,57.66,57.66,57.66,57.66,57.66,57.66,57.66,57.66,57.66,57.66,57.66
Ocean Park,105.9327854,20.9954217,64.96,64.96,64.96,64.96,64.96,64.96,64.96,64.96,64.96,64.96,64.96,64.96,64.96,64.96,64.96,64.96,64.96
Ocean Park,105.9331702,20.9954196,62.47,62.47,62.47,62.47,62.47,62.47,62.47,62.47,62.47,62.47,62.47,62.47,62.47,62.47,62.47,62.47,62.47
Ocean Park,105.933555,20.9954175,62.7,62.7,62.7,62.7,62.7,62.7,62.7,62.7,62.7,62.7,62.7,62.7,62.7,62.7,62.7,62.7,62.7
Ocean Park,105.9339399,20.9954154,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71
Ocean Park,105.9343247,20.9954133,64.97,64.97,64.97,64.97,64.97,64.97,64.97,64.97,64.97,64.97,64.97,64.97,64.97,64.97,64.97,64.97,64.97
Ocean Park,105.9347095,20.9954112,61.56,61.56,61.56,61.56,61.56,61.56,61.56,61.56,61.56,61.56,61.56,61.56,61.56,61.56,61.56,61.56,61.56
Ocean Park,105.9350943,20.9954091,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25
Ocean Park,105.9354791,20.995407,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63
Ocean Park,105.9358639,20.9954049,65.97,65.97,65.97,65.97,65.97,65.97,65.97,65.97,65.97,65.97,65.97,65.97,65.97,65.97,65.97,65.97,65.97
Ocean Park,105.9362487,20.9954027,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2
Ocean Park,105.9366336,20.9954006,63.86,63.86,63.86,63.86,63.86,63.86,63.86,63.86,63.86,63.86,63.86,63.86,63.86,63.86,63.86,63.86,63.86
Ocean Park,105.9370184,20.9953985,61.66,61.66,61.66,61.66,61.66,61.66,61.66,61.66,61.66,61.66,61.66,61.66,61.66,61.66,61.66,61.66,61.66
Ocean Park,105.9374032,20.9953964,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91
Ocean Park,105.937788,20.9953943,62.73,62.73,62.73,62.73,62.73,62.73,62.73,62.73,62.73,62.73,62.73,62.73,62.73,62.73,62.73,62.73,62.73
Ocean Park,105.9381728,20.9953921,61.16,61.16,61.16,61.16,61.16,61.16,61.16,61.16,61.16,61.16,61.16,61.16,61.16,61.16,61.16,61.16,61.16
Ocean Park,105.9385576,20.99539,65.11,65.11,65.11,65.11,65.11,65.11,65.11,65.11,65.11,65.11,65.11,65.11,65.11,65.11,65.11,65.11,65.11
Ocean Park,105.9389425,20.9953879,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88
Ocean Park,105.9393273,20.9953858,66.06,66.06,66.06,66.06,66.06,66.06,66.06,66.06,66.06,66.06,66.06,66.06,66.06,66.06,66.06,66.06,66.06
Ocean Park,105.9397121,20.9953837,64.55,64.55,64.55,64.55,64.55,64.55,64.55,64.55,64.55,64.55,64.55,64.55,64.55,64.55,64.55,64.55,64.55
Ocean Park,105.9400969,20.9953815,59.48,59.48,59.48,59.48,59.48,59.48,59.48,59.48,59.48,59.48,59.48,59.48,59.48,59.48,59.48,59.48,59.48
Ocean Park,105.9404817,20.9953794,60.46,60.46,60.46,60.46,60.46,60.46,60.46,60.46,60.46,60.46,60.46,60.46,60.46,60.46,60.46,60.46,60.46
Ocean Park,105.9408665,20.9953773,63.76,63.76,63.76,63.76,63.76,63.76,63.76,63.76,63.76,63.76,63.76,63.76,63.76,63.76,63.76,63.76,63.76
Ocean Park,105.9412513,20.9953752,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86
Ocean Park,105.9416362,20.995373,68.87,68.87,68.87,68.87,68.87,68.87,68.87,68.87,68.87,68.87,68.87,68.87,68.87,68.87,68.87,68.87,68.87
Ocean Park,105.942021,20.9953709,60.48,60.48,60.48,60.48,60.48,60.48,60.48,60.48,60.48,60.48,60.48,60.48,60.48,60.48,60.48,60.48,60.48
Ocean Park,105.9424058,20.9953688,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43,58.43
Ocean Park,105.9427906,20.9953666,59.38,59.38,59.38,59.38,59.38,59.38,59.38,59.38,59.38,59.38,59.38,59.38,59.38,59.38,59.38,59.38,59.38
Ocean Park,105.9431754,20.9953645,61.37,61.37,61.37,61.37,61.37,61.37,61.37,61.37,61.37,61.37,61.37,61.37,61.37,61.37,61.37,61.37,61.37
Ocean Park,105.9435602,20.9953624,65.76,65.76,65.76,65.76,65.76,65.76,65.76,65.76,65.76,65.76,65.76,65.76,65.76,65.76,65.76,65.76,65.76
Ocean Park,105.943945,20.9953602,66.12,66.12,66.12,66.12,66.12,66.12,66.12,66.12,66.12,66.12,66.12,66.12,66.12,66.12,66.12,66.12,66.12
Ocean Park,105.9443299,20.9953581,68.93,68.93,68.93,68.93,68.93,68.93,68.93,68.93,68.93,68.93,68.93,68.93,68.93,68.93,68.93,68.93,68.93
Ocean Park,105.9447147,20.995356,61.71,61.71,61.71,61.71,61.71,61.71,61.71,61.71,61.71,61.71,61.71,61.71,61.71,61.71,61.71,61.71,61.71
Ocean Park,105.9450995,20.9953538,60.1,60.1,60.1,60.1,60.1,60.1,60.1,60.1,60.1,60.1,60.1,60.1,60.1,60.1,60.1,60.1,60.1
Ocean Park,105.9454843,20.9953517,62.94,62.94,62.94,62.94,62.94,62.94,62.94,62.94,62.94,62.94,62.94,62.94,62.94,62.94,62.94,62.94,62.94
Ocean Park,105.9458691,20.9953496,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11
Ocean Park,105.9462539,20.9953474,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63
Ocean Park,105.9466387,20.9953453,65.18,65.18,65.18,65.18,65.18,65.18,65.18,65.18,65.18,65.18,65.18,65.18,65.18,65.18,65.18,65.18,65.18
Ocean Park,105.9470236,20.9953431,70.68,70.68,70.68,70.68,70.68,70.68,70.68,70.68,70.68,70.68,70.68,70.68,70.68,70.68,70.68,70.68,70.68
Ocean Park,105.9474084,20.995341,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1
Ocean Park,105.9477932,20.9953389,69.89,69.89,69.89,69.89,69.89,69.89,69.89,69.89,69.89,69.89,69.89,69.89,69.89,69.89,69.89,69.89,69.89
Ocean Park,105.948178,20.9953367,65.58,65.58,65.58,65.58,65.58,65.58,65.58,65.58,65.58,65.58,65.58,65.58,65.58,65.58,65.58,65.58,65.58
Ocean Park,105.9485628,20.9953346,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03,69.03
Ocean Park,105.9489476,20.9953324,62.76,62.76,62.76,62.76,62.76,62.76,62.76,62.76,62.76,62.76,62.76,62.76,62.76,62.76,62.76,62.76,62.76
Ocean Park,105.9493324,20.9953303,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05
Ocean Park,105.9497173,20.9953281,63.47,63.47,63.47,63.47,63.47,63.47,63.47,63.47,63.47,63.47,63.47,63.47,63.47,63.47,63.47,63.47,63.47
Ocean Park,105.9501021,20.995326,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98
Ocean Park,105.9504869,20.9953239,63.08,63.08,63.08,63.08,63.08,63.08,63.08,63.08,63.08,63.08,63.08,63.08,63.08,63.08,63.08,63.08,63.08
Ocean Park,105.9508717,20.9953217,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94
Ocean Park,105.9512565,20.9953196,62.07,62.07,62.07,62.07,62.07,62.07,62.07,62.07,62.07,62.07,62.07,62.07,62.07,62.07,62.07,62.07,62.07
Ocean Park,105.9516413,20.9953174,58.99,58.99,58.99,58.99,58.99,58.99,58.99,58.99,58.99,58.99,58.99,58.99,58.99,58.99,58.99,58.99,58.99
Ocean Park,105.9520261,20.9953153,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37
Ocean Park,105.9524109,20.9953131,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1
Ocean Park,105.9527958,20.9953109,59.34,59.34,59.34,59.34,59.34,59.34,59.34,59.34,59.34,59.34,59.34,59.34,59.34,59.34,59.34,59.34,59.34
Ocean Park,105.9327876,20.9957831,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1
Ocean Park,105.9331725,20.995781,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54
Ocean Park,105.9335573,20.9957789,63.66,63.66,63.66,63.66,63.66,63.66,63.66,63.66,63.66,63.66,63.66,63.66,63.66,63.66,63.66,63.66,63.66
Ocean Park,105.9339421,20.9957768,69.94,69.94,69.94,69.94,69.94,69.94,69.94,69.94,69.94,69.94,69.94,69.94,69.94,69.94,69.94,69.94,69.94
Ocean Park,105.9343269,20.9957747,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28
Ocean Park,105.9347117,20.9957726,61.27,61.27,61.27,61.27,61.27,61.27,61.27,61.27,61.27,61.27,61.27,61.27,61.27,61.27,61.27,61.27,61.27
Ocean Park,105.9350965,20.9957705,62.93,62.93,62.93,62.93,62.93,62.93,62.93,62.93,62.93,62.93,62.93,62.93,62.93,62.93,62.93,62.93,62.93
Ocean Park,105.9354814,20.9957683,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71
Ocean Park,105.9358662,20.9957662,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7
Ocean Park,105.936251,20.9957641,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51
Ocean Park,105.9366358,20.995762,59.41,59.41,59.41,59.41,59.41,59.41,59.41,59.41,59.41,59.41,59.41,59.41,59.41,59.41,59.41,59.41,59.41
Ocean Park,105.9370206,20.9957599,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1
Ocean Park,105.9374054,20.9957578,61.06,61.06,61.06,61.06,61.06,61.06,61.06,61.06,61.06,61.06,61.06,61.06,61.06,61.06,61.06,61.06,61.06
Ocean Park,105.9377903,20.9957556,66.91,66.91,66.91,66.91,66.91,66.91,66.91,66.91,66.91,66.91,66.91,66.91,66.91,66.91,66.91,66.91,66.91
Ocean Park,105.9381751,20.9957535,68.89,68.89,68.89,68.89,68.89,68.89,68.89,68.89,68.89,68.89,68.89,68.89,68.89,68.89,68.89,68.89,68.89
Ocean Park,105.9385599,20.9957514,64.88,64.88,64.88,64.88,64.88,64.88,64.88,64.88,64.88,64.88,64.88,64.88,64.88,64.88,64.88,64.88,64.88
Ocean Park,105.9389447,20.9957493,60.97,60.97,60.97,60.97,60.97,60.97,60.97,60.97,60.97,60.97,60.97,60.97,60.97,60.97,60.97,60.97,60.97
Ocean Park,105.9393295,20.9957472,61.33,61.33,61.33,61.33,61.33,61.33,61.33,61.33,61.33,61.33,61.33,61.33,61.33,61.33,61.33,61.33,61.33
Ocean Park,105.9397143,20.995745,68.87,68.87,68.87,68.87,68.87,68.87,68.87,68.87,68.87,68.87,68.87,68.87,68.87,68.87,68.87,68.87,68.87
Ocean Park,105.9400992,20.9957429,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28
Ocean Park,105.940484,20.9957408,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86
Ocean Park,105.9408688,20.9957387,63.52,63.52,63.52,63.52,63.52,63.52,63.52,63.52,63.52,63.52,63.52,63.52,63.52,63.52,63.52,63.52,63.52
Ocean Park,105.9412536,20.9957365,60.36,60.36,60.36,60.36,60.36,60.36,60.36,60.36,60.36,60.36,60.36,60.36,60.36,60.36,60.36,60.36,60.36
Ocean Park,105.9416384,20.9957344,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3
Ocean Park,105.9420232,20.9957323,65.65,65.65,65.65,65.65,65.65,65.65,65.65,65.65,65.65,65.65,65.65,65.65,65.65,65.65,65.65,65.65,65.65
Ocean Park,105.9424081,20.9957301,60.41,60.41,60.41,60.41,60.41,60.41,60.41,60.41,60.41,60.41,60.41,60.41,60.41,60.41,60.41,60.41,60.41
Ocean Park,105.9427929,20.995728,63.53,63.53,63.53,63.53,63.53,63.53,63.53,63.53,63.53,63.53,63.53,63.53,63.53,63.53,63.53,63.53,63.53
Ocean Park,105.9431777,20.9957259,68.89,68.89,68.89,68.89,68.89,68.89,68.89,68.89,68.89,68.89,68.89,68.89,68.89,68.89,68.89,68.89,68.89
Ocean Park,105.9435625,20.9957238,62.44,62.44,62.44,62.44,62.44,62.44,62.44,62.44,62.44,62.44,62.44,62.44,62.44,62.44,62.44,62.44,62.44
Ocean Park,105.9439473,20.9957216,60.16,60.16,60.16,60.16,60.16,60.16,60.16,60.16,60.16,60.16,60.16,60.16,60.16,60.16,60.16,60.16,60.16
Ocean Park,105.9443321,20.9957195,62.56,62.56,62.56,62.56,62.56,62.56,62.56,62.56,62.56,62.56,62.56,62.56,62.56,62.56,62.56,62.56,62.56
Ocean Park,105.9447169,20.9957174,65.84,65.84,65.84,65.84,65.84,65.84,65.84,65.84,65.84,65.84,65.84,65.84,65.84,65.84,65.84,65.84,65.84
Ocean Park,105.9451018,20.9957152,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19
Ocean Park,105.9454866,20.9957131,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
